order_id,product_id,store_id,order_date,order_date_2,sales,revenue,stock,price,promo_type_1,promo_bin_1,promo_type_2,promo_bin_2,promo_discount_2,delivery_date_format1,delivery_date_format2
40911,P0392,S0001,1/1/2019,1-Jan-19,0,0,3,124.99,PR14,,PR03,,NA,1/3/2019,3/1/2019
40912,P0011,S0071,1/1/2019,1-Jan-19,0,0,4,3.25,PR03,verylow,PR03,,NA,1/3/2019,3/1/2019
40913,P0565,S0096,1/1/2019,1-Jan-19,0,0,12,4.25,PR14,,PR03,,NA,1/4/2019,4/1/2019
40914,P0372,S0121,1/1/2019,1-Jan-19,0,0,24,4.9,PR14,,PR03,,NA,1/3/2019,3/1/2019
40915,P0004,S0101,1/1/2019,1-Jan-19,2,7.41,11,4,PR14,,PR03,,NA,1/5/2019,5/1/2019
40916,P0286,S0046,1/1/2019,1-Jan-19,0,0,71,1.45,PR14,,PR03,,NA,1/3/2019,3/1/2019
40917,P0428,S0085,1/1/2019,1-Jan-19,3,83.19,4,29.95,PR14,,PR03,,NA,1/2/2019,2/1/2019
40918,P0171,S0079,1/1/2019,1-Jan-19,0,0,5,15.9,PR14,,PR03,,NA,1/3/2019,3/1/2019
40919,P0009,S0084,1/1/2019,1-Jan-19,0,0,7,3.25,PR03,verylow,PR03,,NA,1/4/2019,4/1/2019
40920,P0500,S0103,1/1/2019,1-Jan-19,0,0,8,12,PR14,,PR03,,NA,1/3/2019,3/1/2019
40921,P0399,S0125,1/1/2019,1-Jan-19,0,0,4,5.5,PR14,,PR03,,NA,1/3/2019,3/1/2019
40922,P0008,S0093,1/1/2019,1-Jan-19,0,0,26,0.9,PR14,,PR03,,NA,1/2/2019,2/1/2019
40923,P0003,S0058,1/1/2019,1-Jan-19,0,0,60,5.75,PR14,,PR03,,NA,1/5/2019,5/1/2019
40924,P0141,S0052,1/1/2019,1-Jan-19,0,0,24,2.75,PR14,,PR03,,NA,1/2/2019,2/1/2019
40925,P0536,S0038,1/1/2019,1-Jan-19,0,0,43,4.1,PR14,,PR03,,NA,1/2/2019,2/1/2019
40926,P0275,S0039,1/1/2019,1-Jan-19,0,0,8,2.75,PR14,,PR03,,NA,1/3/2019,3/1/2019
40927,P0092,S0024,1/1/2019,1-Jan-19,0,0,1,2.25,PR14,,PR03,,NA,1/5/2019,5/1/2019
40928,P0090,S0023,1/1/2019,1-Jan-19,1,4.15,16,4.9,PR14,,PR03,,NA,1/5/2019,5/1/2019
40929,P0679,S0115,1/1/2019,1-Jan-19,0,0,10,59.9,PR14,,PR03,,NA,1/2/2019,2/1/2019
40930,P0035,S0124,1/1/2019,1-Jan-19,0,0,3,5.45,PR14,,PR03,,NA,1/3/2019,3/1/2019
40931,P0340,S0112,1/1/2019,1-Jan-19,0,0,11,49.9,PR03,verylow,PR03,,NA,1/4/2019,4/1/2019
40932,P0651,S0060,1/1/2019,1-Jan-19,0,0,4,19.9,PR14,,PR03,,NA,1/4/2019,4/1/2019
